prefecture_en,vacancy_rate_pct
Hokkaido,13.295312054766322
Aomori,14.777767041081194
Iwate,15.957374184211245
Miyagi,11.72482509346168
Akita,13.63268436075491
Yamagata,11.985449399069028
Fukushima,14.25420499047219
Ibaraki,14.276065221058209
Tochigi,16.781134120629932
Gunma,16.428796785227988
Saitama,9.866218972493996
Chiba,12.118466324920636
Tokyo,10.077042906130087
Kanagawa,10.29435439509677
Niigata,14.4616449873881
Toyama,12.931341044723045
Ishikawa,14.20459732340107
Fukui,13.366521912184922
Yamanashi,20.98621205867745
Nagano,19.16656061752657
Gifu,15.186903197071253
Shizuoka,15.954023405277518
Aichi,10.842209509041737
Mie,14.859011371271203
Shiga,12.443033280516845
Kyoto,12.610775533333774
Osaka,14.641055757573508
Hyogo,13.038045610717694
Nara,13.793517995637325
Wakayama,19.964169995719065
Tottori,15.367313454679907
Shimane,15.179514255543822
Okayama,15.096794288432466
Hiroshima,14.775958501213395
Yamaguchi,17.474614952096402
Tokushima,19.382176767544664
Kagawa,17.811524985611438
Ehime,17.751592583171274
Kochi,19.134485164361635
Fukuoka,12.390998991298774
Saga,13.904950713144999
Nagasaki,15.38508177587801
Kumamoto,13.46482900028157
Oita,16.64539849288439
Miyazaki,15.191563450036535
Kagoshima,18.655486779739025
Okinawa,9.947143895178492
